Info,Nome,Sesso,Categoria,Sotto_categoria,Colore,Prezzo_finale,Prezzo_originale
Sneakers A039 Nero Verde,A039,donna,sneakers,Sneakers,Verde,99.9,99.9
Sneakers A042 Nero Verde,A042,donna,sneakers,Sneakers,Verde,79.9,79.9
Sneakers A047 Wafer,A047,donna,sneakers,Sneakers,Wafer,83.9,104.9
Sneakers A047 Beige,A047,donna,sneakers,Sneakers,Beige,83.9,104.9
Sneakers A039 Corallo,A039,donna,sneakers,Sneakers,Corallo,99.9,99.9
Sneakers A039 Bianco Grigio,A039,donna,sneakers,Sneakers,Grigio,99.9,99.9
Sneakers A039 Lilla Sabbia,A039,donna,sneakers,Sneakers,Sabbia,99.9,99.9
Sneakers A039 Nabuck Blu,A039,donna,sneakers,Sneakers,Blu,99.9,99.9
Sneakers donna A1596 Bianco,donna,donna,sneakers,Sneakers,Bianco,89.9,89.9
Sneakers donna A1596 Blu,donna,donna,sneakers,Sneakers,Blu,89.9,89.9
Sneakers donna D1596 Nero,donna,donna,sneakers,Sneakers,Nero,89.9,89.9
Sneakers D1596 Stampa Pitone Grigio,D1596,donna,sneakers,Sneakers,Grigio,89.9,89.9
Sneakers A8859 Nocciola,A8859,donna,sneakers,Sneakers,Nocciola,99.9,99.9
Sneakers A8859 Beige Bianco,A8859,donna,sneakers,Sneakers,Bianco,99.9,99.9
Sneakers A8859 Beige,A8859,donna,sneakers,Sneakers,Beige,99.9,99.9
Sneakers D022 Bianco,D022,donna,sneakers,Sneakers,Bianco,79.9,79.9
Sneakers D022 Nero con Suola Nera,D022,donna,sneakers,Sneakers,Nera,79.9,79.9
Sneakers D022 Nero con Suola Bianca,D022,donna,sneakers,Sneakers,Bianca,79.9,79.9
Sneakers A8859 Bianco,A8859,donna,sneakers,Sneakers,Bianco,99.9,99.9
Sneakers A042 Bianco Rosa,A042,donna,sneakers,Sneakers,Rosa,79.9,79.9
Sneakers A042 Blu,A042,donna,sneakers,Sneakers,Blu,79.9,79.9
Sneakers A042 Argento-Bianco,A042,donna,sneakers,Sneakers,Argento-Bianco,79.9,79.9
Sneakers A042 Cuoio,A042,donna,sneakers,Sneakers,Cuoio,79.9,79.9
Sneakers A042 Bianco-Oro,A042,donna,sneakers,Sneakers,Bianco-Oro,79.9,79.9
Sneakers A042 Laminato Argento,A042,donna,sneakers,Sneakers,Argento,79.9,79.9
Sneakers A041 Bianco,A041,donna,sneakers,Sneakers,Bianco,44.9,89.9
Sneakers D043 Laminato Nero,D043,donna,sneakers,Sneakers,Nero,62.9,89.9
Sneakers D043 Bianco,D043,donna,sneakers,Sneakers,Bianco,62.9,89.9
Sneakers D043 Rosso,D043,donna,sneakers,Sneakers,Rosso,62.9,89.9
Sneakers D043 Perlato Cipria,D043,donna,sneakers,Sneakers,Cipria,62.9,89.9
Sneakers A044 Vernice Bianco,A044,donna,sneakers,Sneakers,Bianco,69.9,99.9
Sneakers A044 Nero,A044,donna,sneakers,Sneakers,Nero,69.9,99.9
Sneakers A044 Cuoio,A044,donna,sneakers,Sneakers,Cuoio,69.9,99.9
Sneakers A045 Rosa Grigio,A045,donna,sneakers,Sneakers,Grigio,73.4,104.9
Sneakers A045 Platino,A045,donna,sneakers,Sneakers,Platino,73.4,104.9
Sneakers donna A1603B Bianco Argento,donna,donna,sneakers,Sneakers,Argento,79.9,79.9
Sneakers donna A1603B Bianco,donna,donna,sneakers,Sneakers,Bianco,79.9,79.9
Sneakers donna A1603B Blu,donna,donna,sneakers,Sneakers,Blu,79.9,79.9
Sneakers A1617 Bianco,A1617,donna,sneakers,Sneakers,Bianco,63.9,79.9
Sneakers A1617 Rosa,A1617,donna,sneakers,Sneakers,Rosa,63.9,79.9
Sneakers A1620 con Suola Bassa Cuoio,A1620,donna,sneakers,Sneakers,Cuoio,42.45,84.9
Sneakers A1620 Bianco Fuxia,A1620,donna,sneakers,Sneakers,Fuxia,42.45,84.9
Sneakers A1620 Perlato,A1620,donna,sneakers,Sneakers,Perlato,42.45,84.9
Sneakers Chelsea D055 Testa di Moro,Chelsea,donna,sneakers,Sneakers,Moro,73.4,104.9
Sneakers Chelsea D055 Nero,Chelsea,donna,sneakers,Sneakers,Nero,73.4,104.9
Sneakers A8858 Bianco Rosa,A8858,donna,sneakers,Sneakers,Rosa,53.9,89.9
Sneakers A8858 Carta da Zucchero,A8858,donna,sneakers,Sneakers,Zucchero,53.9,89.9
Sneakers A7285 Bianco Verde,A7285,donna,sneakers,Sneakers,Verde,50.0,84.9
Sneakers D075 Bordeaux Nero,D075,donna,sneakers,Sneakers,Nero,39.95,99.9
Sneakers D076 Panna,D076,donna,sneakers,Sneakers,Panna,69.9,99.9
Sneakers A050 Laminato Nero,A050,donna,sneakers,Sneakers,Nero,39.95,99.9
Sneakers D051 Laminato Nero,D051,donna,sneakers,Sneakers,Nero,39.95,99.9
Sneakers A052 Suede Cuoio,A052,donna,sneakers,Sneakers,Cuoio,37.95,94.9
Sneakers A052 Suede Rosa,A052,donna,sneakers,Sneakers,Rosa,37.95,94.9
Décollétè A6727 Vernice Bordeaux,A6727,donna,decollete,Décollétè,Bordeaux,99.9,99.9
Décollétè D6727 Vernice Rosa,D6727,donna,decollete,Décollétè,Rosa,99.9,99.9
Décollétè A6727 Vernice Nero,A6727,donna,decollete,Décollétè,Nero,99.9,99.9
Décollétè A6730 Cuoio,A6730,donna,decollete,Décollétè,Cuoio,99.9,99.9
Décollétè D6730 Vernice Nero,D6730,donna,decollete,Décollétè,Nero,99.9,99.9
Décollétè D6730 Nero,D6730,donna,decollete,Décollétè,Nero,99.9,99.9
Décollétè D6730 Suede Porpora,D6730,donna,decollete,Décollétè,Porpora,99.9,99.9
Décollétè con cinturino D5719 Nabuck Nero,con,donna,decollete,Décollétè,Nero,89.9,89.9
Décollétè con cinturino D5719 Vernice Nero,con,donna,decollete,Décollétè,Nero,89.9,89.9
Décollétè con cinturino D5719 Cuoio,con,donna,decollete,Décollétè,Cuoio,89.9,89.9
Décollétè A3650F Nero,A3650F,donna,decollete,Décollétè,Nero,79.9,79.9
Décolletè A3673 Nero,A3673,donna,decollete,Décolletè,Nero,89.9,89.9
Décollétè A3650L Nero,A3650L,donna,decollete,Décollétè,Nero,79.9,79.9
Décollétè A3650L Nude,A3650L,donna,decollete,Décollétè,Nude,79.9,79.9
