Info,Nome,Sesso,Categoria,Sotto_categoria,Colore,Prezzo_finale,Prezzo_originale,Sconto,Azienda
Sneakers A039 Nero Verde,A039,donna,sneakers,sneakers,Verde,99.9,99.9,0.0,Duelune
Sneakers A042 Nero Verde,A042,donna,sneakers,sneakers,Verde,79.9,79.9,0.0,Duelune
Sneakers A047 Wafer,A047,donna,sneakers,sneakers,Wafer,83.9,104.9,20.0,Duelune
Sneakers A047 Beige,A047,donna,sneakers,sneakers,Beige,83.9,104.9,20.0,Duelune
Sneakers A039 Corallo,A039,donna,sneakers,sneakers,Corallo,99.9,99.9,0.0,Duelune
Sneakers A039 Bianco Grigio,A039,donna,sneakers,sneakers,Grigio,99.9,99.9,0.0,Duelune
Sneakers A039 Lilla Sabbia,A039,donna,sneakers,sneakers,Sabbia,99.9,99.9,0.0,Duelune
Sneakers A039 Nabuck Blu,A039,donna,sneakers,sneakers,Blu,99.9,99.9,0.0,Duelune
Sneakers donna A1596 Bianco,donna,donna,sneakers,sneakers,Bianco,89.9,89.9,0.0,Duelune
Sneakers donna A1596 Blu,donna,donna,sneakers,sneakers,Blu,89.9,89.9,0.0,Duelune
Sneakers donna D1596 Nero,donna,donna,sneakers,sneakers,Nero,89.9,89.9,0.0,Duelune
Sneakers D1596 Stampa Pitone Grigio,D1596,donna,sneakers,sneakers,Grigio,89.9,89.9,0.0,Duelune
Sneakers A8859 Nocciola,A8859,donna,sneakers,sneakers,Nocciola,99.9,99.9,0.0,Duelune
Sneakers A8859 Beige Bianco,A8859,donna,sneakers,sneakers,Bianco,99.9,99.9,0.0,Duelune
Sneakers A8859 Beige,A8859,donna,sneakers,sneakers,Beige,99.9,99.9,0.0,Duelune
Sneakers D022 Bianco,D022,donna,sneakers,sneakers,Bianco,79.9,79.9,0.0,Duelune
Sneakers D022 Nero con Suola Nera,D022,donna,sneakers,sneakers,Nera,79.9,79.9,0.0,Duelune
Sneakers D022 Nero con Suola Bianca,D022,donna,sneakers,sneakers,Bianca,79.9,79.9,0.0,Duelune
Sneakers A8859 Bianco,A8859,donna,sneakers,sneakers,Bianco,99.9,99.9,0.0,Duelune
Sneakers A042 Bianco Rosa,A042,donna,sneakers,sneakers,Rosa,79.9,79.9,0.0,Duelune
Sneakers A042 Blu,A042,donna,sneakers,sneakers,Blu,79.9,79.9,0.0,Duelune
Sneakers A042 Argento-Bianco,A042,donna,sneakers,sneakers,Argento-Bianco,79.9,79.9,0.0,Duelune
Sneakers A042 Cuoio,A042,donna,sneakers,sneakers,Cuoio,79.9,79.9,0.0,Duelune
Sneakers A042 Bianco-Oro,A042,donna,sneakers,sneakers,Bianco-Oro,79.9,79.9,0.0,Duelune
Sneakers A042 Laminato Argento,A042,donna,sneakers,sneakers,Argento,79.9,79.9,0.0,Duelune
Sneakers A041 Bianco,A041,donna,sneakers,sneakers,Bianco,44.9,89.9,50.0,Duelune
Sneakers D043 Laminato Nero,D043,donna,sneakers,sneakers,Nero,62.9,89.9,30.0,Duelune
Sneakers D043 Bianco,D043,donna,sneakers,sneakers,Bianco,62.9,89.9,30.0,Duelune
Sneakers D043 Rosso,D043,donna,sneakers,sneakers,Rosso,62.9,89.9,30.0,Duelune
Sneakers D043 Perlato Cipria,D043,donna,sneakers,sneakers,Cipria,62.9,89.9,30.0,Duelune
Sneakers A044 Vernice Bianco,A044,donna,sneakers,sneakers,Bianco,69.9,99.9,30.0,Duelune
Sneakers A044 Nero,A044,donna,sneakers,sneakers,Nero,69.9,99.9,30.0,Duelune
Sneakers A044 Cuoio,A044,donna,sneakers,sneakers,Cuoio,69.9,99.9,30.0,Duelune
Sneakers A045 Rosa Grigio,A045,donna,sneakers,sneakers,Grigio,73.4,104.9,30.0,Duelune
Sneakers A045 Platino,A045,donna,sneakers,sneakers,Platino,73.4,104.9,30.0,Duelune
Sneakers donna A1603B Bianco Argento,donna,donna,sneakers,sneakers,Argento,79.9,79.9,0.0,Duelune
Sneakers donna A1603B Bianco,donna,donna,sneakers,sneakers,Bianco,79.9,79.9,0.0,Duelune
Sneakers donna A1603B Blu,donna,donna,sneakers,sneakers,Blu,79.9,79.9,0.0,Duelune
Sneakers A1617 Bianco,A1617,donna,sneakers,sneakers,Bianco,63.9,79.9,20.0,Duelune
Sneakers A1617 Rosa,A1617,donna,sneakers,sneakers,Rosa,63.9,79.9,20.0,Duelune
Sneakers A1620 con Suola Bassa Cuoio,A1620,donna,sneakers,sneakers,Cuoio,42.45,84.9,50.0,Duelune
Sneakers A1620 Bianco Fuxia,A1620,donna,sneakers,sneakers,Fuxia,42.45,84.9,50.0,Duelune
Sneakers A1620 Perlato,A1620,donna,sneakers,sneakers,Perlato,42.45,84.9,50.0,Duelune
Sneakers Chelsea D055 Testa di Moro,Chelsea,donna,sneakers,sneakers,Moro,73.4,104.9,30.0,Duelune
Sneakers Chelsea D055 Nero,Chelsea,donna,sneakers,sneakers,Nero,73.4,104.9,30.0,Duelune
Sneakers A8858 Bianco Rosa,A8858,donna,sneakers,sneakers,Rosa,53.9,89.9,40.0,Duelune
Sneakers A8858 Carta da Zucchero,A8858,donna,sneakers,sneakers,Zucchero,53.9,89.9,40.0,Duelune
Sneakers A7285 Bianco Verde,A7285,donna,sneakers,sneakers,Verde,50.0,84.9,41.0,Duelune
Sneakers D075 Bordeaux Nero,D075,donna,sneakers,sneakers,Nero,39.95,99.9,60.0,Duelune
Sneakers D076 Panna,D076,donna,sneakers,sneakers,Panna,69.9,99.9,30.0,Duelune
Sneakers A050 Laminato Nero,A050,donna,sneakers,sneakers,Nero,39.95,99.9,60.0,Duelune
Sneakers D051 Laminato Nero,D051,donna,sneakers,sneakers,Nero,39.95,99.9,60.0,Duelune
Sneakers A052 Suede Cuoio,A052,donna,sneakers,sneakers,Cuoio,37.95,94.9,60.0,Duelune
Sneakers A052 Suede Rosa,A052,donna,sneakers,sneakers,Rosa,37.95,94.9,60.0,Duelune
Décollétè A6727 Vernice Bordeaux,A6727,donna,decollete,decollete,Bordeaux,99.9,99.9,0.0,Duelune
Décollétè D6727 Vernice Rosa,D6727,donna,decollete,decollete,Rosa,99.9,99.9,0.0,Duelune
Décollétè A6727 Vernice Nero,A6727,donna,decollete,decollete,Nero,99.9,99.9,0.0,Duelune
Décollétè A6730 Cuoio,A6730,donna,decollete,decollete,Cuoio,99.9,99.9,0.0,Duelune
Décollétè D6730 Vernice Nero,D6730,donna,decollete,decollete,Nero,99.9,99.9,0.0,Duelune
Décollétè D6730 Nero,D6730,donna,decollete,decollete,Nero,99.9,99.9,0.0,Duelune
Décollétè D6730 Suede Porpora,D6730,donna,decollete,decollete,Porpora,99.9,99.9,0.0,Duelune
Décollétè con cinturino D5719 Nabuck Nero,con,donna,decollete,decollete,Nero,89.9,89.9,0.0,Duelune
Décollétè con cinturino D5719 Vernice Nero,con,donna,decollete,decollete,Nero,89.9,89.9,0.0,Duelune
Décollétè con cinturino D5719 Cuoio,con,donna,decollete,decollete,Cuoio,89.9,89.9,0.0,Duelune
