Info,Nome,Sesso,Categoria,Sotto_categoria,Colore,Prezzo_finale,Prezzo_originale
Melluso Gift Card Virtuale,Gift Card,donna,,,,50.0,50.0
Décolleté donna slingback in pelle nude e bianco e1690,e1690,donna,decollete,Décolleté,bianco,149.9,149.9
Décolleté donna in pelle acero d5176w,d5176w,donna,decollete,Décolleté,acero,104.93,149.9
Décolleté donna in camoscio zebra verde d5176w,d5176w,donna,decollete,Décolleté,verde,111.93,159.9
Décolleté donna in camoscio zebra cioccolato d5176w,d5176w,donna,decollete,Décolleté,cioccolato,111.93,159.9
Décolleté donna in camoscio vino d5178w,d5178w,donna,decollete,Décolleté,vino,73.45,149.9
Décolleté donna in camoscio petrolio d5185w,d5185w,donna,decollete,Décolleté,petrolio,104.93,149.9
Décolleté donna in pelle nero d5185w,d5185w,donna,decollete,Décolleté,nero,94.44,149.9
Décolleté donna in camoscio acero d5185w,d5185w,donna,decollete,Décolleté,acero,94.44,149.9
Décolleté donna in camoscio rovere d5125w,d5125w,donna,decollete,Décolleté,rovere,97.93,139.9
Décolleté donna con cinturino in vernice nero d5126w,d5126w,donna,decollete,Décolleté,nero,104.93,149.9
Décolleté donna con cinturino in camoscio rovere d5126w,d5126w,donna,decollete,Décolleté,rovere,97.93,139.9
Décolleté donna con cinturino in camoscio acero d5126w,d5126w,donna,decollete,Décolleté,acero,97.93,139.9
Décolleté donna in pelle rosa onion d5173w,d5173w,donna,decollete,Décolleté,onion,97.93,139.9
Décolleté donna in wash tortora d5175w,d5175w,donna,decollete,Décolleté,tortora,104.93,149.9
Décolleté donna in camoscio viola d5175w,d5175w,donna,decollete,Décolleté,viola,104.93,149.9
Décolleté donna in pelle cipria d5176w,d5176w,donna,decollete,Décolleté,cipria,149.9,149.9
Décolleté donna in pelle nero d5071w,d5071w,donna,decollete,Décolleté,nero,81.84,129.9
Décolleté donna in pelle moro d5071w,d5071w,donna,decollete,Décolleté,moro,81.84,129.9
Décolleté donna in camoscio blu notte d5096w,d5096w,donna,decollete,Décolleté,notte,81.84,129.9
Décolleté donna in camoscio rovere d5096w,d5096w,donna,decollete,Décolleté,rovere,81.84,129.9
Décolleté donna in pelle nero d5125w,d5125w,donna,decollete,Décolleté,nero,97.93,139.9
Décolleté donna in vernice nero d5125w,d5125w,donna,decollete,Décolleté,nero,104.93,149.9
Décolleté donna in vernice blu notte d5096w,d5096w,donna,decollete,Décolleté,notte,97.93,139.9
Décolleté donna in pelle acero d5096w,d5096w,donna,decollete,Décolleté,acero,90.93,129.9
Décolleté donna in camoscio bordo d5096w,d5096w,donna,decollete,Décolleté,bordo,90.93,129.9
Décolleté donna in pelle blu navy d5176w,d5176w,donna,decollete,Décolleté,navy,149.9,149.9
Décolleté donna in camoscio blu navy d5185w,d5185w,donna,decollete,Décolleté,navy,94.44,149.9
Décolleté donna in pelle harrods nero d5186w,d5186w,donna,decollete,Décolleté,nero,104.93,149.9
Décolleté donna in pelle cipria e5115w,e5115w,donna,decollete,Décolleté,cipria,118.93,169.9
Décolleté donna in camoscio nero e5125w,e5125w,donna,decollete,Décolleté,nero,115.5,165.0
Décolleté donna in camoscio acero e5125w,e5125w,donna,decollete,Décolleté,acero,115.5,165.0
Décolleté donna in camoscio verde e5130w,e5130w,donna,decollete,Décolleté,verde,115.5,165.0
Décolleté donna con elastico in camoscio nero e5134,e5134,donna,decollete,Décolleté,nero,115.5,165.0
Décolleté donna in pelle cipria e5138g,e5138g,donna,decollete,Décolleté,cipria,125.93,179.9
Décolleté donna in pelle nero e5143w,e5143w,donna,decollete,Décolleté,nero,111.93,159.9
Décolleté donna in camoscio viola d5176w,d5176w,donna,decollete,Décolleté,viola,104.93,149.9
Décolleté donna in camoscio acero d5176w,d5176w,donna,decollete,Décolleté,acero,149.9,149.9
Décolleté donna in camoscio nero d5176w,d5176w,donna,decollete,Décolleté,nero,149.9,149.9
Décolleté donna in pelle harrods verde d5186w,d5186w,donna,decollete,Décolleté,verde,104.93,149.9
Décolleté donna in camoscio nero d5096w,d5096w,donna,decollete,Décolleté,nero,81.84,129.9
Décolleté donna in camoscio blu notte d5125w,d5125w,donna,decollete,Décolleté,notte,97.93,139.9
Décolleté donna con cinturino in camoscio bordo d5126w,d5126w,donna,decollete,Décolleté,bordo,97.93,139.9
Décolleté donna in vernice e pelle nero beige e5142w,e5142w,donna,decollete,Décolleté,beige,111.93,159.9
Décolleté donna in vernice e pelle marrone nero e5142w,e5142w,donna,decollete,Décolleté,nero,111.93,159.9
Décolleté donna in camoscio e vernice nero e5142w,e5142w,donna,decollete,Décolleté,nero,111.93,159.9
Décolleté donna in camoscio vino e5142w,e5142w,donna,decollete,Décolleté,vino,111.93,159.9
Dècolletè donna in pelle blu navy k59026w,k59026w,donna,decollete,Dècolletè,navy,104.93,149.9
Décolleté donna in pelle nero r35108w,r35108w,donna,decollete,Décolleté,nero,104.93,149.9
Décolleté donna cinturino incrociato in tessuto galassia platino e1631zv,e1631zv,donna,decollete,Décolleté,platino,159.9,159.9
Décolleté donna in camoscio viola d5186w,d5186w,donna,decollete,Décolleté,viola,149.9,149.9
Décolleté donna slingback in tessuto argento d188,d188,donna,decollete,Décolleté,argento,149.9,149.9
Dècolletè donna comodo in pelle nude r30611z,r30611z,donna,decollete,Dècolletè,nude,125.0,125.0
Décolleté donna in pelle nero v5342,v5342,donna,decollete,Décolleté,nero,104.93,149.9
Décolleté donna  in camoscio blu navy x5100w,x5100w,donna,decollete,Décolleté,navy,101.5,145.0
Décolleté donna con cinturino in camoscio bordo x5214w,x5214w,donna,decollete,Décolleté,bordo,101.5,145.0
Décolleté donna in camoscio acero x5216w,x5216w,donna,decollete,Décolleté,acero,108.5,155.0
Décolleté donna in camoscio marrone x5216w,x5216w,donna,decollete,Décolleté,marrone,108.5,155.0
Décolleté donna in pelle nero x5216w,x5216w,donna,decollete,Décolleté,nero,108.5,155.0
Décolleté donna in camoscio bordo x5216w,x5216w,donna,decollete,Décolleté,bordo,108.5,155.0
Décolleté donna in camoscio nero x5318w,x5318w,donna,decollete,Décolleté,nero,108.5,155.0
Décolleté donna in camoscio blu navy x5318w,x5318w,donna,decollete,Décolleté,navy,108.5,155.0
Décolleté donna in pelle marrone x5318w,x5318w,donna,decollete,Décolleté,marrone,108.5,155.0
Mocassino donna in camoscio nero x5320w,x5320w,donna,decollete,Mocassino,nero,108.5,155.0
Mocassino donna in camoscio bordo x5320w,x5320w,donna,decollete,Mocassino,bordo,108.5,155.0
Mocassino donna in camoscio grigio x5320w,x5320w,donna,decollete,Mocassino,grigio,108.5,155.0
Mocassino donna in pelle nero x5320w,x5320w,donna,decollete,Mocassino,nero,108.5,155.0
Décolleté donna in camoscio blu abyss d110z,d110z,donna,decollete,Décolleté,abyss,129.9,129.9
Décolleté donna in camoscio fondotinta d110z,d110z,donna,decollete,Décolleté,fondotinta,129.9,129.9
Décolleté donna in pelle abyss d110z,d110z,donna,decollete,Décolleté,abyss,129.9,129.9
Décolleté donna in camoscio blu notte d116z,d116z,donna,decollete,Décolleté,notte,90.93,129.9
Décolleté donna  in pelle nude d160zv,d160zv,donna,decollete,Décolleté,nude,149.9,149.9
Décolleté donna  in pelle blu abyss d160zv,d160zv,donna,decollete,Décolleté,abyss,149.9,149.9
Décolleté donna  in pelle platino d160w,d160w,donna,decollete,Décolleté,platino,149.9,149.9
Décolleté donna  in pelle nude d160w,d160w,donna,decollete,Décolleté,nude,149.9,149.9
Décolleté donna  in pelle blu abyss d160zv,d160zv,donna,decollete,Décolleté,abyss,149.9,149.9
Décolleté donna  in pelle lilla d160zv,d160zv,donna,decollete,Décolleté,lilla,149.9,149.9
Décolleté donna slingback in tessuto rosa phard d165z,d165z,donna,decollete,Décolleté,phard,149.9,149.9
Décolleté donna slingback in pelle wash platino d165z,d165z,donna,decollete,Décolleté,platino,149.9,149.9
Décolleté donna slingback in tessuto platino d165z,d165z,donna,decollete,Décolleté,platino,149.9,149.9
Décolleté donna slingback in tessuto argento d165z,d165z,donna,decollete,Décolleté,argento,149.9,149.9
Décolleté donna slingback in tessuto blu notte d165z,d165z,donna,decollete,Décolleté,notte,149.9,149.9
Décolleté donna slingback in pelle rosa contour d165zv,d165zv,donna,decollete,Décolleté,contour,104.93,149.9
Décolleté donna slingback in pelle argento d166z,d166z,donna,decollete,Décolleté,argento,139.9,139.9
Décolleté donna slingback in pelle nappetta nero d166z,d166z,donna,decollete,Décolleté,nero,139.9,139.9
Décolleté donna slingback in pelle nappetta blu abyss d166z,d166z,donna,decollete,Décolleté,abyss,139.9,139.9
Décolleté donna slingback in pelle fondotinta d166z,d166z,donna,decollete,Décolleté,fondotinta,139.9,139.9
Décolleté donna slingback in pelle carne d166z,d166z,donna,decollete,Décolleté,carne,149.9,149.9
Décolleté donna slingback in pelle verlux nero d166z,d166z,donna,decollete,Décolleté,nero,149.9,149.9
Décolleté donna slingback in pelle bianco d166z,d166z,donna,decollete,Décolleté,bianco,149.9,149.9
Décolleté donna slingback in tessuto galassia blu notte d168zv,d168zv,donna,decollete,Décolleté,notte,149.9,149.9
Décolleté donna slingback in pelle blu notte d168zv,d168zv,donna,decollete,Décolleté,notte,149.9,149.9
Décolleté donna slingback in pelle nude d168zv,d168zv,donna,decollete,Décolleté,nude,149.9,149.9
Décolleté donna slingback in pelle nero d168zv,d168zv,donna,decollete,Décolleté,nero,149.9,149.9
Décolleté donna slingback in pelle platino d168zv,d168zv,donna,decollete,Décolleté,platino,149.9,149.9
Décolleté donna slingback in pelle blu abyss d168zv,d168zv,donna,decollete,Décolleté,abyss,104.93,149.9
Décolleté donna slingback in tessuto platino d168zv,d168zv,donna,decollete,Décolleté,platino,149.9,149.9
Décolleté donna in tessuto platino e1301z,e1301z,donna,decollete,Décolleté,platino,139.9,139.9
Décolleté donna in tessuto argento e1301z,e1301z,donna,decollete,Décolleté,argento,139.9,139.9
Décolleté donna in tessuto blu notte e1301z,e1301z,donna,decollete,Décolleté,notte,139.9,139.9
Décolleté slingback donna in pelle nero e1301z,e1301z,donna,decollete,Décolleté,nero,139.9,139.9
Décolleté donna cinturino incrociato in tessuto pelle nude e1631zv,e1631zv,donna,decollete,Décolleté,nude,159.9,159.9
Décolleté donna cinturino incrociato in pelle nero e1631zv,e1631zv,donna,decollete,Décolleté,nero,159.9,159.9
Décolleté donna in pelle blu abyss d175z,d175z,donna,decollete,Décolleté,abyss,139.9,139.9
Décolleté donna slingback in pelle nero d179z,d179z,donna,decollete,Décolleté,nero,139.9,139.9
Décolleté donna in pelle beige kiss d179z,d179z,donna,decollete,Décolleté,kiss,139.9,139.9
Décolleté donna slingback in pelle bianco milk d179z,d179z,donna,decollete,Décolleté,milk,139.9,139.9
Décolleté donna cinturino incrociato in tessuto pelle wash platino e1631zv,e1631zv,donna,decollete,Décolleté,platino,169.9,169.9
Décolleté donna slingback in pelle rosa contour e1634zv,e1634zv,donna,decollete,Décolleté,contour,169.9,169.9
Décolleté donna slingback in pelle blu abyss e1634zv,e1634zv,donna,decollete,Décolleté,abyss,159.9,159.9
Décolleté donna slingback in tessuto galassia platino e1634zv,e1634zv,donna,decollete,Décolleté,platino,159.9,159.9
Décolleté donna slingback in pelle wash argento e1634zv,e1634zv,donna,decollete,Décolleté,argento,169.9,169.9
Décolleté donna slingback in pelle platino e1634zv,e1634zv,donna,decollete,Décolleté,platino,169.9,169.9
Décolleté donna slingback in pelle nero e1634zv,e1634zv,donna,decollete,Décolleté,nero,159.9,159.9
Décolleté donna slingback in tessuto galassia notte e1634zv,e1634zv,donna,decollete,Décolleté,notte,159.9,159.9
Décolleté donna slingback in pelle nude e1634zv,e1634zv,donna,decollete,Décolleté,nude,159.9,159.9
Décolleté donna slingback in pelle bianco e1634zv,e1634zv,donna,decollete,Décolleté,bianco,159.9,159.9
Décolleté donna slingback in pelle rosa glicine e1634zv,e1634zv,donna,decollete,Décolleté,glicine,118.93,169.9
Décolleté donna slingback in pelle harrods blu abyss e1634zv,e1634zv,donna,decollete,Décolleté,abyss,111.93,159.9
