Info,Nome,Sesso,Categoria,Sotto_categoria,Colore,Prezzo_finale,Prezzo_originale,Sconto,Azienda
Melluso Gift Card Virtuale,Gift Card,donna,,,,50.0,50.0,0.0,Melluso
Décolleté donna slingback in pelle nude e bianco e1690,e1690,donna,decollete,decollete,bianco,149.9,149.9,0.0,Melluso
Décolleté donna in pelle acero d5176w,d5176w,donna,decollete,decollete,acero,104.93,149.9,30.0,Melluso
Décolleté donna in camoscio zebra verde d5176w,d5176w,donna,decollete,decollete,verde,111.93,159.9,30.0,Melluso
Décolleté donna in camoscio zebra cioccolato d5176w,d5176w,donna,decollete,decollete,cioccolato,111.93,159.9,30.0,Melluso
Décolleté donna in camoscio vino d5178w,d5178w,donna,decollete,decollete,vino,73.45,149.9,51.00066711140761,Melluso
Décolleté donna in camoscio petrolio d5185w,d5185w,donna,decollete,decollete,petrolio,104.93,149.9,30.0,Melluso
Décolleté donna in pelle nero d5185w,d5185w,donna,decollete,decollete,nero,94.44,149.9,36.99799866577719,Melluso
Décolleté donna in camoscio acero d5185w,d5185w,donna,decollete,decollete,acero,94.44,149.9,36.99799866577719,Melluso
Décolleté donna in camoscio rovere d5125w,d5125w,donna,decollete,decollete,rovere,97.93,139.9,30.0,Melluso
Décolleté donna con cinturino in vernice nero d5126w,d5126w,donna,decollete,decollete,nero,104.93,149.9,30.0,Melluso
Décolleté donna con cinturino in camoscio rovere d5126w,d5126w,donna,decollete,decollete,rovere,97.93,139.9,30.0,Melluso
Décolleté donna con cinturino in camoscio acero d5126w,d5126w,donna,decollete,decollete,acero,97.93,139.9,30.0,Melluso
Décolleté donna in pelle rosa onion d5173w,d5173w,donna,decollete,decollete,onion,97.93,139.9,30.0,Melluso
Décolleté donna in wash tortora d5175w,d5175w,donna,decollete,decollete,tortora,104.93,149.9,30.0,Melluso
Décolleté donna in camoscio viola d5175w,d5175w,donna,decollete,decollete,viola,104.93,149.9,30.0,Melluso
Décolleté donna in pelle cipria d5176w,d5176w,donna,decollete,decollete,cipria,149.9,149.9,0.0,Melluso
Décolleté donna in pelle nero d5071w,d5071w,donna,decollete,decollete,nero,81.84,129.9,36.99769053117783,Melluso
Décolleté donna in pelle moro d5071w,d5071w,donna,decollete,decollete,moro,81.84,129.9,36.99769053117783,Melluso
Décolleté donna in camoscio blu notte d5096w,d5096w,donna,decollete,decollete,notte,81.84,129.9,36.99769053117783,Melluso
Décolleté donna in camoscio rovere d5096w,d5096w,donna,decollete,decollete,rovere,81.84,129.9,36.99769053117783,Melluso
Décolleté donna in pelle nero d5125w,d5125w,donna,decollete,decollete,nero,97.93,139.9,30.0,Melluso
Décolleté donna in vernice nero d5125w,d5125w,donna,decollete,decollete,nero,104.93,149.9,30.0,Melluso
Décolleté donna in vernice blu notte d5096w,d5096w,donna,decollete,decollete,notte,97.93,139.9,30.0,Melluso
Décolleté donna in pelle acero d5096w,d5096w,donna,decollete,decollete,acero,90.93,129.9,30.0,Melluso
Décolleté donna in camoscio bordo d5096w,d5096w,donna,decollete,decollete,bordo,90.93,129.9,30.0,Melluso
Décolleté donna in pelle blu navy d5176w,d5176w,donna,decollete,decollete,navy,149.9,149.9,0.0,Melluso
Décolleté donna in camoscio blu navy d5185w,d5185w,donna,decollete,decollete,navy,94.44,149.9,36.99799866577719,Melluso
Décolleté donna in pelle harrods nero d5186w,d5186w,donna,decollete,decollete,nero,104.93,149.9,30.0,Melluso
Décolleté donna in pelle cipria e5115w,e5115w,donna,decollete,decollete,cipria,118.93,169.9,30.0,Melluso
Décolleté donna in camoscio nero e5125w,e5125w,donna,decollete,decollete,nero,115.5,165.0,30.0,Melluso
Décolleté donna in camoscio acero e5125w,e5125w,donna,decollete,decollete,acero,115.5,165.0,30.0,Melluso
Décolleté donna in camoscio verde e5130w,e5130w,donna,decollete,decollete,verde,115.5,165.0,30.0,Melluso
Décolleté donna con elastico in camoscio nero e5134,e5134,donna,decollete,decollete,nero,115.5,165.0,30.0,Melluso
Décolleté donna in pelle cipria e5138g,e5138g,donna,decollete,decollete,cipria,125.93,179.9,30.0,Melluso
Décolleté donna in pelle nero e5143w,e5143w,donna,decollete,decollete,nero,111.93,159.9,30.0,Melluso
Décolleté donna in camoscio viola d5176w,d5176w,donna,decollete,decollete,viola,104.93,149.9,30.0,Melluso
Décolleté donna in camoscio acero d5176w,d5176w,donna,decollete,decollete,acero,149.9,149.9,0.0,Melluso
Décolleté donna in camoscio nero d5176w,d5176w,donna,decollete,decollete,nero,149.9,149.9,0.0,Melluso
Décolleté donna in pelle harrods verde d5186w,d5186w,donna,decollete,decollete,verde,104.93,149.9,30.0,Melluso
